City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
350,Ostersund,SE,63.1792,14.6357,43.61,87,75,14.97,broken clouds
351,Sile,TR,41.1754,29.6133,60.57,70,81,5.99,broken clouds
352,Werder,DE,52.3787,12.934,49.05,82,84,4.38,broken clouds
353,Zwedru,LR,6.0667,-8.1281,73.4,95,100,3.33,light rain
354,Lodwar,KE,3.1191,35.5973,83.21,49,100,15.48,overcast clouds
355,Itarema,BR,-2.9248,-39.9167,79.45,73,67,15.23,broken clouds
356,Revda,RU,56.801,59.9303,34.18,98,100,7.4,light snow
357,Sadovoye,RU,47.7764,44.5089,43.32,85,5,23.29,clear sky
358,Chik,RU,54.9928,82.4311,31.75,92,100,11.18,light snow
359,Madingou,CG,-4.1536,13.55,73.6,93,98,1.68,overcast clouds
360,Mahajanga,MG,-15.7167,46.3167,80.62,89,20,6.91,few clouds
361,Ilhabela,BR,-23.7781,-45.3581,73.27,87,18,6.02,few clouds
362,Amapa,BR,1.0,-52.0,79.65,73,88,1.86,moderate rain
363,Tibati,CM,6.4667,12.6333,76.75,40,100,2.75,overcast clouds
364,Kankan,GN,10.3854,-9.3057,78.21,37,1,3.22,clear sky
365,Ayia Galini,GR,35.1,24.6833,56.84,81,7,4.63,clear sky
366,Padang,ID,-0.9492,100.3543,75.56,97,100,3.65,moderate rain
367,Nola,IT,40.922,14.5329,60.66,93,3,4.85,clear sky
368,Uruzgan,AF,32.8333,66.0,48.56,66,97,3.18,overcast clouds
369,Stepnyak,KZ,52.8339,70.7803,33.01,94,100,21.27,overcast clouds
370,Awjilah,LY,29.1081,21.2869,65.61,49,20,5.19,few clouds
371,Balsas,BR,-7.5325,-46.0356,82.42,58,47,3.24,scattered clouds
372,Alipur Chatha,PK,32.2688,73.819,60.8,34,20,4.56,few clouds
373,Kavaratti,IN,10.5669,72.642,80.42,76,100,7.18,overcast clouds
374,Cetraro,IT,39.5166,15.9416,52.25,81,75,10.45,broken clouds
375,Thaba-Tseka,LS,-29.522,28.6084,54.68,84,100,4.43,overcast clouds
376,Mezen,RU,65.8522,44.24,32.79,97,100,9.35,overcast clouds
377,Azul,AR,-36.777,-59.8585,72.34,67,100,4.88,overcast clouds
378,Norton,ZW,-17.8833,30.7,67.28,70,93,2.57,overcast clouds
379,Port-Gentil,GA,-0.7193,8.7815,76.96,94,20,4.61,few clouds
380,Mufulira,ZM,-12.5498,28.2407,64.15,91,96,1.86,overcast clouds
381,Calama,CL,-22.4667,-68.9333,72.09,8,0,25.32,clear sky
